mq2,mq3,mq4,mq6,mq7,mq8,mq9,mq135,presence
166,275,396,435,481,475,544,553,0
166,275,395,435,481,479,544,553,0
165,275,395,435,481,474,544,553,0
165,275,395,435,480,475,544,553,0
165,275,396,435,480,475,543,553,0
166,275,395,435,481,479,544,553,0
165,275,396,435,481,475,543,553,0
165,275,395,435,481,474,544,553,0
165,275,395,435,481,476,543,553,0
165,275,395,435,480,477,543,553,0
165,275,395,435,481,474,543,553,0
165,275,395,435,481,475,543,553,0
165,275,395,435,480,480,543,553,0
165,275,396,435,481,473,543,553,0
165,275,395,435,481,473,543,553,0
165,275,396,435,480,473,543,553,0
165,275,395,435,481,477,543,553,0
165,275,395,435,481,476,543,553,0
165,275,396,435,481,473,543,552,0
165,275,395,435,480,475,543,552,0
165,275,395,435,481,479,543,553,0
165,275,395,435,481,473,543,553,0
165,275,395,434,480,475,543,553,0
165,275,395,435,480,481,543,553,0
164,274,395,434,481,477,543,552,0
165,275,395,435,480,475,543,552,0
164,274,395,435,480,473,543,552,0
164,274,395,434,480,475,543,552,0
164,275,395,435,480,478,543,552,0
164,275,395,435,480,473,543,552,0
164,275,395,434,480,474,543,552,0
165,275,395,435,480,480,543,552,0
165,274,395,435,480,472,542,552,0
164,275,395,435,481,474,543,553,0
164,274,395,434,480,474,542,552,0
164,275,394,434,480,476,542,552,0
164,274,395,434,480,477,542,552,0
164,275,395,434,480,473,542,552,0
164,275,395,435,480,474,542,552,0
164,275,395,434,480,480,542,552,0
164,275,395,434,480,472,542,552,0
164,275,395,435,480,474,543,552,0
164,274,395,435,480,480,542,552,0
164,275,395,434,480,471,542,552,0
164,274,394,434,480,475,542,552,0
164,275,394,435,480,473,542,552,0
164,274,394,434,480,474,542,552,0
163,275,395,434,480,479,542,552,0
163,275,395,434,480,472,542,552,0
164,275,394,434,479,473,542,552,0
163,274,395,434,480,480,542,552,0
164,275,394,434,480,471,542,552,0
164,275,395,434,479,473,542,551,0
164,274,395,434,480,481,542,551,0
163,275,394,434,480,473,542,552,0
163,274,394,434,479,478,542,551,0
164,274,394,434,480,472,542,552,0
164,274,394,433,480,473,542,551,0
164,274,395,434,480,479,542,552,0
163,275,394,434,480,471,542,552,0
163,274,394,433,479,473,542,552,0
164,274,394,434,479,480,542,552,0
164,275,395,434,479,470,542,551,0
163,275,394,434,479,473,542,552,0
163,274,394,434,480,474,542,551,0
163,274,394,434,479,473,541,551,0
164,274,394,434,479,479,541,551,0
163,274,395,433,479,471,541,551,0
163,275,394,434,479,473,541,551,0
163,274,394,434,479,480,541,551,0
163,274,394,433,479,470,541,551,0
163,274,394,433,480,473,541,551,0
163,274,394,434,479,480,541,551,0
163,274,394,434,480,470,541,551,0
163,274,394,434,479,477,541,551,0
163,274,394,434,479,471,541,551,0
163,274,394,433,479,473,541,551,0
163,274,394,433,479,479,542,551,0
162,274,394,433,479,470,541,551,0
163,274,394,433,479,473,541,551,0
163,274,394,434,479,480,541,551,0
162,274,394,433,479,470,541,551,0
163,274,394,434,479,472,541,551,0
162,274,393,434,479,478,541,551,0
162,274,393,433,479,472,541,550,0
162,274,394,433,479,479,541,551,0
162,274,394,433,479,471,540,551,0
162,274,394,433,479,473,541,551,0
162,274,394,433,479,480,540,551,0
162,274,394,434,479,470,541,551,0
162,274,394,433,478,472,541,550,0
162,274,393,433,479,479,540,550,0
162,274,394,433,479,469,541,551,0
162,274,394,433,478,471,540,551,0
162,274,393,432,479,473,540,550,0
162,274,393,433,478,473,540,550,0
162,274,394,433,478,479,540,550,0
162,274,393,433,479,470,541,551,0
162,274,394,433,478,472,540,550,0
162,274,394,433,478,479,540,551,0
161,273,393,433,479,469,540,550,0
162,274,393,433,478,471,540,550,0
161,274,394,433,479,478,540,550,0
162,274,394,433,478,469,540,551,0
162,274,393,432,478,477,540,550,0
162,274,393,433,478,470,540,550,0
161,274,394,433,478,472,540,551,0
162,273,393,433,478,479,539,550,0
161,274,393,433,478,469,540,550,0
161,273,393,433,478,472,540,550,0
161,273,393,432,478,479,540,550,0
161,274,394,432,478,469,540,550,0
161,274,394,432,478,471,540,550,0
161,273,393,432,478,477,540,550,0
161,274,393,432,478,471,540,550,0
161,274,393,432,478,478,540,550,0
161,274,393,432,478,470,540,550,0
161,274,393,432,478,471,539,550,0
161,274,393,432,478,479,540,550,0
161,274,393,432,478,469,540,550,0
160,273,393,432,478,471,539,550,0
160,274,393,433,478,478,540,550,0
161,273,393,433,478,469,540,550,0
161,273,393,432,478,471,539,550,0
